,input_en,true_ba,pred_ba
1382,tomorrow you meet my aunty,naaiga ninna chithi ya nooda,naaiga ninna amme ya noodithae
1383,who did not come,dhara bapilae,nee bannae
1384,deer fears a lot,maanu appara hanjira,aennaga sarae appara koosu ellae
1385,i have two hundred and one rupees,aenna sarae eranoora ondhu uripi hadathae,aenna sarae eranoora ondhu uripi hadathae
1386,what does he want,aennaga ondhu baeda,emma baasae hadathae
1387,do you have drinking water,kuduputhuga neeru hadathaya,ninnaga kuduputhu ellae
1388,still you havent slept,nee ennu orugulaya,nee ollenge nee
1389,its too long,jamma appara haibuta,ninnaga appara jaama
1390,you need mirror to comb your hair,mandae goruthuga kannadi baeku,ninnaga ollenge ollithu
1391,i have thousand and eighty two rupees,aenna sarae saavirtha eambathi aeradu uripi hadathae,aenna sarae saavirtha eambathi aeradu uripi hadathae
1392,cats will live for seven years,kothi ezzhu varusa tha edhdhara,nanga sarae ezzhu varusa ezzhu
1393,today i dont have exam,endhdhu aennaga parchae ellae,na aennaga examina ellae
1394,i have two younger sisters,aennaga aerudu amme yavaka edhdharae,aenga sarae aerudu koodi hadathae
1395,this is so important work,edhu appara mukkiyavatha jooli,edhuna appara sooka hadathae
1396,we cant play if we are late,jaama harae nalubuthuga mudiya,nanga ollenge ollenge maellae
1397,are you badaga,nee badaga harathaya,nee badaga edhdhae
1398,listening to sad songs makes me sleep better,sooga paatu kaethalae ollenge oruku banthara,nee aennaga ollenge ollenge edhdhae
1399,understand and learn,purudhu tha oodhathu,nee ollenge edhdhae
1400,i have four rupees,aenna sarae naaku uripi hadathae,aenna sarae naaku uripi hadathae
1401,what should i do next,ennu na aena maaduthu,eni maellae aena maadirae
1402,which god do you worship,ninga ae soomi ya vaendiyari,nee ae nee edhdhae aena
1403,this whole month is boring,ei thinguva ondhu assundu,ei varusa appara sooka hadathae
1404,looking at you makes me happy,ninnava noodiriyae ondhu kusi hara,ninnava noodithae edhdhae
1405,still you did not started it,na ennu hadhuna harambichavae ellae,ninnaga edhdhae edhdhae
1406,dont speak rubbish,addae maakae baasae haada baeda,nee aennaga edhdhae ellae
1407,i have hundred and four rupees,aenna sarae noora naaku uripi hadathae,aenna sarae noora naaku uripi hadathae
1408,i have four hundred and nine rupees,aenna sarae nanoora ombathu uripi hadathae,aenna sarae nanoora ombathu uripi hadathae
1409,i dont know to drive,na bandi oodisi hariyarae,na ninnaga ollenge edhdhae
1410,i will come there,na bannae halliga,elliga bannae
1411,this is black color,edhu kappu banna,edhu appara kunnuthu
1412,get a job soon,nee manakana ondhu sambuvaga saeru,eni maellae ollenge edhdhae
1413,you dont have any bad habbits,ninnaga ketta palaka ondhu ellaeya,ninnaga habba baeda
1414,how is everybody at home,maennaya avaka aella ollenge eddharaya,manaya aella aella edhdhae
1415,give me a kiss,aennaga ondhu mutha tha,aennaga ondhu koosu
1416,we will walk slow,nanga maellaena nadaba ba,nanga ollenge edhdhae
1417,come here,elliga ba,elliga banthu
1418,day before yesterday i went to school,maranae tha na hatti ga odhae,maranae na ninnaga odhdhae
1419,you know raj from your village,ninga hatti raj na harathaya,ninna sarae raj na harathae
1420,it would be good if you work,gelcha maadirae seri,gelcha maadinae seri
1421,that shop will open early in the morning,ha kadaya orukuthu othina tharuthu butara,orrukuthu orrukuthu ollenge edhdharae
1422,are you going to see him,ninga hamana noodiyariya,nee noodithiya
1423,i have ninty three rupees,aenna sarae thombathi mooru uripi hadathae,aenna sarae thombathi mooru uripi hadathae
1424,will see you tommorrow,naaiga nooda ji,naaiga ninnaga noodiriya
1425,yesterday is my birthdat,nennae aenna utti jaenna,nanga aenna utti jaenna
1426,shall me do a ball,saendu maada va,ninnaga ollenge maadithae
1427,we will drink milk,haalu kudapa,haalu kudathara
1428,this bag is too heavy,ei pai appara baara,ei kai appara kunnuthu
1429,we can go home,manae ga ogaka,manae ga oppa
1430,wash the plate,batlu thogibudu,battae ondhu kudathu
1431,they know me,aennava harathara,aennaga aennava harathae
1432,what did you do this month,ei thinguva aena maadithae,ennu aena maadithae
1433,i have one rupees,aenna sarae ondhu uripi hadathae,aenna sarae ondhu uripi hadathae
1434,how was the film,pada ollenge hattutha,ninnaga ettu aesaga
1435,dont talk like a fool,pottu makae basae haada beda,ninnaga appara koosu ellae
1436,what was the reason for this,edhuga aena karana,edhuna aena maadithae
1437,are you new to this place,nee ei aedaga ostha,ninnaga edhdhae edhdhae
1438,four members are there in my house,anga manaeya motha naaka,aenga manaya hattiya hattiya
1439,i have thousand and twenty one rupees,aenna sarae saavirtha eppathi ondhu uripi hadathae,aenna sarae saavirtha eppathi ondhu uripi hadathae
1440,what does she want,ema ga aena baeku,emma baasae hadathae
1441,i have thousand and hundred rupees,aenna sarae saavirtha nooru uripi hadathae,aenna sarae saavirtha uripi hadathae
1442,this way is so bad,ei dhari appara moosa,edhu appara sooka hadathae
1443,do you think i dont know about you,na ninna pathi hariyarana,ninnaga aennava na ninnava ninnava aena maadithae
1444,rain stopped,mae butu buta,pada ollenge hadathae
1445,how to do this,edhdhuna aethae maaduthu aegu,edhuna aena maadithae
1446,time will go on  without boring if you have a dog,nae attrae jaama athae oora aenthu aeguthu mudiya,ninna sarae ollenge ondhu ellae
1447,i have eighty three rupees,aenna sarae eambathi mooru uripi hadathae,aenna sarae eambathi mooru uripi hadathae
1448,my teeth is paining,hallu urchira aennaga,kai urchira
1449,what is the price for tomatto,dhomba balae aesaga,tomatto aena baeku
1450,i have thousand and fourty six rupees,aenna sarae saavirtha nalavathi haaru uripi hadathae,aenna sarae saavirtha nalavathi haaru uripi hadathae
1451,did you think of me,aennava nenachithiya,ninnaga aennava noodithae
1452,i feel happy while listening to this song,e paata kaethara appara santhoshava hadathae,ei na ninnava noodithae edhdhae
1453,i have thousand and thirty six rupees,aenna sarae saavirtha moovathi haaru uripi hadathae,aenna sarae saavirtha moovathi haaru uripi hadathae
1454,who called me,aennava dhara korchithuru,aennaga aennava edhdharae
1455,dont look at me like this,edhae nooda baeda aennava,edhuna nooduthu ellae
1456,i going to watch movie,na pada noodinae,na ninnaga noodithae
1457,i have twenty six rupees,aenna sarae eppathi haaru uripi hadathae,aenna sarae eppathi haaru uripi hadathae
1458,you better look at your work,nee ninna jooli ya noodu,ninnaga gelcha maadithae
1459,do you know how to drive,nee bandi oodisi harathaya,nee ollenge edhdhae
1460,tomorrow is my birthday,naaiga aenna utti jaenna,nangiga aenna utti jaenna
1461,daily we have to wakeup early in the morning,jaennagu orrukuthu othina aebbuthu,endhdhu orrukuthu othina orrukuthu ellae
1462,this is not a good hospital,ei haspithiri seri ellae,edhu appara kunnutha hadathae
1463,did you have food,ninga thindhara,ninnaga aella neeru
1464,which fruit you like the most,ninnaga aena hannu appara edathara,ninnaga aena appara edathara
1465,i feel sleepy,aenaga orruku bapaningae hadathae,aennaga appara santhu
1466,how many people are there in your house,ninga maennaya aesaga edhi,aesu manaya nee aesaga hadathae
1467,what is price for gold,chinna baellae aesaga vario,ninnaga aesaga edhdhae
1468,buffalo will be so black in color,yaemmae appara kappa attra,kunnavae appara kunnutha hadathae
