,input_en,true_ba,output
1365,this vechile looks good,ei bandi ollenge hadathae,ei bandi ollenge hadathae
1366,what did i told what did you do,na aena aegithae nee aena maadinthae,na aena aegithae nee aena maadithae
1367,tuesday is a good day,mangavaara olleiya jaenna,mangavaara olleiya jaenna
1368,he is a devotee of god,emaga appara soomi bakthi,emaga appara soomi bakava
1369,you should respect everyone,nee aellaga mariyathae kodathu,nee aellaga mariyathae kodathu
1370,she is your girl right,edhu ninna hennu thanae,edhu ninna hennu thanae
1371,he is an angry man,emma appara koopakaara,emma ondhu man
1372,you drive nice,nee ollenge bandi odisirae,nee ollenge bandi odisirae
1373,why he is still not here,ema aeka ennu kaanae,ema aeka ennu kaanae
1374,prepare chicken gravy for dinner,santhu koi udhaka maadu,santhu koi udhaka maadu
1375,im fine,ollenge edhdhae,ollenge edhdhae
1376,i didnt sleep well,ollenge orrugulaya,ollenge orrugulaya
1377,did you complete this job,ei gelcha va maadibutaya nee,ei gelcha maadibutaya nee
1378,you are beautiful,nee sooka edhdhae,nee sooka edhdhae
1379,honey will be so good,jaenu appara sooka attra,jaenu appara sooka attra
1380,take a small walk if you feel sleepy,orruku bapaningae harae orrasu nadae,orruku bapaningae orruku bapaningae hadathae
1381,dont be scared,hanjathae eru,hanjathae eru
1382,tomorrow you meet my aunty,naaiga ninna chithi ya nooda,naaiga aenna amme ya noodu
1383,who did not come,dhara bapilae,dhara bapilae
1384,deer fears a lot,maanu appara hanjira,kudathu appara havaka appara havaka
1385,i have two hundred and one rupees,aenna sarae eranoora ondhu uripi hadathae,aenna sarae eranoora ondhu uripi hadathae
1386,what does he want,aennaga ondhu baeda,ema ga aena baeku
1387,do you have drinking water,kuduputhuga neeru hadathaya,kuduputhuga neeru hadathaya
1388,still you havent slept,nee ennu orugulaya,nee ennu orugulaya
1389,its too long,jamma appara haibuta,appara jaama haipta
1390,you need mirror to comb your hair,mandae goruthuga kannadi baeku,mandae goruthuga bapaningae hadathae
1391,i have thousand and eighty two rupees,aenna sarae saavirtha eambathi aeradu uripi hadathae,aenna sarae saavirtha eambathi aeradu uripi hadathae
1392,cats will live for seven years,kothi ezzhu varusa tha edhdhara,kothi ezzhu varusa tha edhara
1393,today i dont have exam,endhdhu aennaga parchae ellae,endhdhu aennaga parchae ellae
1394,i have two younger sisters,aennaga aerudu amme yavaka edhdharae,aennaga aerudu amme yavaka edhdharae
1395,this is so important work,edhu appara mukkiyavatha jooli,edhu appara mukkiyava hadathae
1396,we cant play if we are late,jaama harae nalubuthuga mudiya,jaama harae nalubuthuga mudiya
1397,are you badaga,nee badaga harathaya,nee badaga harathaya
1398,listening to sad songs makes me sleep better,sooga paatu kaethalae ollenge oruku banthara,sooga paatu kaethanae ollenge oruku banthara
1399,understand and learn,purudhu tha oodhathu,purudhu tha oodhathu
1400,i have four rupees,aenna sarae naaku uripi hadathae,aenna sarae naaku uripi hadathae
1401,what should i do next,ennu na aena maaduthu,ennu na aena maaduthu
1402,which god do you worship,ninga ae soomi ya vaendiyari,ninga ae soomi ya vaendiyari
1403,this whole month is boring,ei thinguva ondhu assundu,ei thinguva ondhu assundu
1404,looking at you makes me happy,ninnava noodiriyae ondhu kusi hara,ninnava noodiriyae ondhu kusi hara
1405,still you did not started it,na ennu hadhuna harambichavae ellae,ningaga ennu hadathae hariyarae
1406,dont speak rubbish,addae maakae baasae haada baeda,buruvae baasae haada baeda
1407,i have hundred and four rupees,aenna sarae noora naaku uripi hadathae,aenna sarae noora naaku uripi hadathae
1408,i have four hundred and nine rupees,aenna sarae nanoora ombathu uripi hadathae,aenna sarae nanoora ombathu uripi hadathae
1409,i dont know to drive,na bandi oodisi hariyarae,na bandi oodisi hariyarae
1410,i will come there,na bannae halliga,na bannae halliga
1411,this is black color,edhu kappu banna,edhu kappu banna
1412,get a job soon,nee manakana ondhu sambuvaga saeru,nee manakana ondhu sambuvaga saeru
1413,you dont have any bad habbits,ninnaga ketta palaka ondhu ellaeya,ninnaga ketta palaka ondhu ellaya
1414,how is everybody at home,maennaya avaka aella ollenge eddharaya,maennaya avaka aella ollenge eddhariya
1415,give me a kiss,aennaga ondhu mutha tha,aennaga ondhu mutha tha
1416,we will walk slow,nanga maellaena nadaba ba,nanga aerada ollenge hadathae
1417,come here,elliga ba,elliga ba
1418,day before yesterday i went to school,maranae tha na hatti ga odhae,maranae tha na hatti ga odhae
1419,you know raj from your village,ninga hatti raj na harathaya,ninga hatti raj na harathaya
1420,it would be good if you work,gelcha maadirae seri,gelcha maadirae seri
1421,that shop will open early in the morning,ha kadaya orukuthu othina tharuthu butara,ha kadaya orukuthu othina tharuthu butara
1422,are you going to see him,ninga hamana noodiyariya,nee hamana noodiriya
1423,i have ninty three rupees,aenna sarae thombathi mooru uripi hadathae,aenna sarae thombathi mooru uripi hadathae
1424,will see you tommorrow,naaiga nooda ji,naaiga nooda nooda
1425,yesterday is my birthdat,nennae aenna utti jaenna,nennae aenna utti jaenna
1426,shall me do a ball,saendu maada va,saendu maada va
1427,we will drink milk,haalu kudapa,haalu kudapa
1428,this bag is too heavy,ei pai appara baara,ei pai appara baara
1429,we can go home,manae ga ogaka,manae ga oputhu
1430,wash the plate,batlu thogibudu,batlu thogibudu
1431,they know me,aennava harathara,aennava harathara
1432,what did you do this month,ei thinguva aena maadithae,ei thinguva aena maadithae
1433,i have one rupees,aenna sarae ondhu uripi hadathae,aenna sarae ondhu uripi hadathae
1434,how was the film,pada ollenge hattutha,pada ollenge hadathaya
1435,dont talk like a fool,pottu makae basae haada beda,pottu makae aeguva baasae haada baeda
1436,what was the reason for this,edhuga aena karana,edhuga aena hara
1437,are you new to this place,nee ei aedaga ostha,nee ei aedaga ostha
1438,four members are there in my house,anga manaeya motha naaka,anga manaeya naaku aella hadathae
1439,i have thousand and twenty one rupees,aenna sarae saavirtha eppathi ondhu uripi hadathae,aenna sarae saavirtha eppathi ondhu uripi hadathae
1440,what does she want,ema ga aena baeku,ema ga aena baeku
1441,i have thousand and hundred rupees,aenna sarae saavirtha nooru uripi hadathae,aenna sarae saavirtha nooru uripi hadathae
1442,this way is so bad,ei dhari appara moosa,ei dhari appara moosa
1443,do you think i dont know about you,na ninna pathi hariyarana,na ninna pathi hariyarana
1444,rain stopped,mae butu buta,mae butu buta
1445,how to do this,edhdhuna aethae maaduthu aegu,edhdhuna aethae maaduthu aegu
1446,time will go on  without boring if you have a dog,nae attrae jaama athae oora aenthu aeguthu mudiya,nae attrae jaama aella ollenge hadathae
1447,i have eighty three rupees,aenna sarae eambathi mooru uripi hadathae,aenna sarae eambathi mooru uripi hadathae
1448,my teeth is paining,hallu urchira aennaga,hallu urchira aennaga
1449,what is the price for tomatto,dhomba balae aesaga,dhomba balae aesaga
1450,i have thousand and fourty six rupees,aenna sarae saavirtha nalavathi haaru uripi hadathae,aenna sarae saavirtha nalavathi haaru uripi hadathae
1451,did you think of me,aennava nenachithiya,aennava nenachithiya
1452,i feel happy while listening to this song,e paata kaethara appara santhoshava hadathae,e paata kaethara appara santhoshava hadathae
1453,i have thousand and thirty six rupees,aenna sarae saavirtha moovathi haaru uripi hadathae,aenna sarae saavirtha moovathi haaru uripi hadathae
1454,who called me,aennava dhara korchithuru,aennava dhara korchithubuttae
1455,dont look at me like this,edhae nooda baeda aennava,edhae nooda baeda aennava
1456,i going to watch movie,na pada noodinae,na pada noodinae
1457,i have twenty six rupees,aenna sarae eppathi haaru uripi hadathae,aenna sarae eppathi haaru uripi hadathae
1458,you better look at your work,nee ninna jooli ya noodu,nee ninnaga noodiriya
1459,do you know how to drive,nee bandi oodisi harathaya,nee bandi oodisi harathaya
1460,tomorrow is my birthday,naaiga aenna utti jaenna,naaiga aenna utti jaenna
1461,daily we have to wakeup early in the morning,jaennagu orrukuthu othina aebbuthu,jaennagu orrukuthu othina aebbuthu
1462,this is not a good hospital,ei haspithiri seri ellae,ei haspithiri seri ellae
1463,did you have food,ninga thindhara,ninga thindhara
1464,which fruit you like the most,ninnaga aena hannu appara edathara,ninnaga aena hannu appara edathara
1465,i feel sleepy,aenaga orruku bapaningae hadathae,aenaga orruku bapaningae hadathae
1466,how many people are there in your house,ninga maennaya aesaga edhi,ninga maennaya aesaga edhi
1467,what is price for gold,chinna baellae aesaga vario,chinna baellae aesaga vario
1468,buffalo will be so black in color,yaemmae appara kappa attra,yaemmae appara kappa attra
